No,DocId,key-phrases
42,351,"['traffic simulation', 'traffic simulation technology', 'traffic forecasting', 'travel demand model', 'synthetic urban dynamic']"
43,352,"['LSTM model', 'deep sequence', 'vanilla LSTM model', 'taxi fleet', 'Taxicab']"
44,371,"['population map', 'urban population distribution', 'urban population', 'mobile phone trajectory', 'mobile phone dataset']"
45,381,"['travel activity pattern', 'distinctive activity pattern', 'driver survey data', 'dimensionality reduction', 'autoencoder']"
46,392,"['urban region', 'nonnegative matrix factorization', 'clustering', 'mobility information', 'matrix factorization']"
47,397,"['Data mining tourism', 'mining tourism pattern', 'tourism pattern', 'travel pattern', 'transportation information']"
48,398,"['large urban police', 'urban emergency police', 'urban police', 'urban police jurisdiction', 'emergency police operation']"
49,404,"['location semantic predicting', 'urban location annotation', 'location annotation', 'Semantic location', 'Semantic location name']"
50,419,"['urban mobility structure', 'transit mobility structure', 'meaningful transit mobility', 'transit mobility pattern', 'urban mobility']"
51,448,"['urban network analysis', 'urban network path', 'Graph input representation', 'taxi journey dataset', 'urban network']"
52,461,"['bus route planning', 'travel demand prediction', 'bus dynamic routing', 'bus route', 'dynamic route planning']"
53,464,"['autonomous mobility', 'support autonomous mobility', 'predict traffic condition', 'solves traffic congestion', 'solves traffic']"
54,477,"['human mobility dataset', 'Deep Model', 'deep learning model', 'mobility dataset', 'citywide crowd']"
55,490,"['urban traffic condition', 'traffic management strategy', 'represent urban traffic', 'road urban network', 'traffic management solution']"
56,494,"['urban human activity', 'natural language processing', 'urban planning', 'social activity', 'population movement pattern']"
57,498,"['arterial road control', 'heterogeneous traffic flow', 'urban road network', 'road control', 'arterial road']"
58,511,"['distinguish geographical proximity', 'semantic proximity', 'latent semantic relationship', 'geographical proximity', 'trajectory']"
59,520,"['implicit geographic movement', 'geographic movement', 'word embeddings', 'corpus training', 'animal migration']"
60,529,"['travel mode choice', 'travel behavior', 'commute', 'travel type', 'transportation']"
61,543,"['motion planning', 'safe trajectory', 'reachable area', 'Reachability analysis', 'Reachability']"
62,545,"['IoT data', 'smart IoT application', 'IoT application', 'data mining technique', 'IoT data set']"
63,550,"['bike trajectory data', 'bike flow pattern', 'flow pattern discovery', 'bike activity', 'bike flow']"
64,561,"['traffic volume prediction', 'prediction methodology', 'different prediction methodology', 'Highway traffic volume', 'predictive accuracy']"
65,597,"['geographical information system', 'urban geographical information', 'urban transportation', 'modern intelligent transportation', 'transportation system']"
