Cluster,Group,SubGroup,TitleWords,NumPhrases,Key-phrases,NumDocs,DocIds
2,-1,10,"['landsat', 'data', 'multispectral']",12,"['resolution multispectral data', 'multispectral data', 'multispectral satellite image', 'multispectral image', 'LandUse data set', 'Landsat data stack', 'Landsat data', 'multitemporal satellite image', 'Landsat satellite imagery', 'Landsat imagery archive', 'Landsat imagery', 'Landsat image']",12,"[165, 167, 231, 254, 283, 374, 391, 475, 497, 547, 572, 578]"
2,-1,11,"['building', 'detection', 'extraction']",11,"['fast building detection', 'building extraction method', 'building extraction accuracy', 'building extraction', 'building detection', 'building change detection', 'Automatic building extraction', 'automatic building detection', 'unreinforced masonry building', 'detected building', 'extracted knowledge']",13,"[23, 87, 106, 137, 141, 153, 161, 418, 463, 525, 547, 557, 593]"
2,-1,12,"['map', 'transition', 'mapping']",11,"['transition map', 'mapping', 'automatic mapping', 'USI map', 'transition rule mining', 'map', 'digital map', 'complex map production', 'change map', 'Systematic data mining', 'site transformation']",11,"[78, 158, 225, 328, 352, 436, 473, 515, 554, 559, 588]"
2,-1,13,"['detection', 'multiscale', 'vehicle']",10,"['vehicle detection', 'multiscale rapid detection', 'single vehicle extraction', 'shadow detection', 'Precise object detection', 'object detection method', 'multiscale prediction', 'multiscale Gabor filter', 'multiscale feature', 'light detection']",10,"[8, 16, 128, 161, 226, 237, 378, 460, 469, 563]"
2,-1,14,"['feature', 'fusion', 'space']",7,"['nonlinear feature space', 'multiple feature space', 'feature fusion', 'new data fusion', 'hierarchic feature representation', 'data fusion', 'integrated monitoring']",9,"[16, 46, 129, 158, 162, 226, 427, 479, 496]"
2,-1,15,"['semantic', 'multilabel', 'classification']",7,"['multilabel classification', 'semantic representation', 'semantic net', 'semantic labelling', 'meaningful semantic class', 'logic', 'labeled data']",7,"[37, 73, 288, 327, 528, 531, 588]"
2,-1,16,"['spectral', 'signature', 'abundant']",4,"['abundant spectral signature', 'wave signature', 'spectral information', 'optical data']",4,"[169, 282, 462, 476]"
2,-1,17,"['centerline', 'extraction', 'road']",4,"['Road centerline extraction', 'Multiscale road centerline', 'centerline extraction method', 'contour extraction']",4,"[289, 378, 443, 463]"
2,0,0,"['satellite', 'data', 'earth']",14,"['satellite data', 'satellite big data', 'single satellite', 'Planet database', 'Earth Observation datasets', 'earth observation', 'earth', 'Copernicus mission satellite', 'big geo data', 'big data', 'subsampled orthophoto', 'high spatial resolution', 'GEE publication', 'Earth Engine platform']",14,"[8, 78, 90, 93, 96, 135, 161, 226, 285, 301, 317, 347, 405, 463]"
2,0,1,"['satellite', 'image', 'imagery']",13,"['satellite imagery', 'IKONOS satellite imagery', 'satellite image need', 'satellite image fusion', 'satellite image', 'resolution satellite image', 'resolution aerial imagery', 'Pléiades satellite image', 'street view image', 'Sentinel image', 'supervoxels', 'high resolution earth', 'different street object']",28,"[8, 59, 72, 92, 106, 120, 153, 158, 169, 171, 175, 193, 230, 231, 234, 314, 333, 347, 361, 405, 458, 469, 496, 507, 528, 531, 565, 569]"
2,0,2,"['image', 'SAR', 'imagery']",11,"['unlabeled overhead imagery', 'infrared imagery', 'Spark RDD image', 'SAR image classification', 'SAR image', 'sar data', 'remote sensing image', 'image SR method', 'synthetic aperture radar', 'SAR mapping', 'SAR feature']",12,"[9, 162, 226, 252, 330, 389, 393, 398, 473, 476, 479, 559]"
2,0,3,"['aerial', 'image', 'UAV']",10,"['aerial imagery', 'aerial image dataset', 'aerial image', 'unmanned aerial vehicle', 'UAV image', 'aerial orthophotos', 'aerial building dataset', 'UAV photogrammetry', 'UAV datasets', 'drone']",12,"[11, 128, 141, 183, 188, 237, 282, 303, 314, 444, 525, 548]"
2,0,4,"['dataset', 'training', 'datasets']",10,"['training dataset', 'Sentinel datasets', 'large training dataset', 'large datasets', 'datasets', 'training pixel', 'test dataset', 'large annotated dataset', 'developed dataset', 'pixel level']",10,"[8, 74, 144, 285, 320, 331, 398, 469, 547, 552]"
2,0,5,"['hyperspectral', 'image', 'classification']",5,"['hyperspectral image classification', 'hyperspectral system', 'hyperspectral reflectance', 'Hyperspectral image', 'hyperspectral data']",6,"[118, 162, 427, 437, 462, 531]"
2,0,6,"['remote', 'sensing', 'imagery']",2,"['remote sensing imagery', 'remote sensing']",9,"[46, 66, 73, 113, 144, 398, 464, 525, 590]"
2,1,0,"['land', 'cover', 'vegetation']",23,"['shrubland coverage', 'land cover extraction', 'land cover', 'greenery land cover', 'vegetation specie mapping', 'vegetation', 'urban vegetation mapping', 'urban forest cover', 'natural land', 'landscape diversity', 'difference vegetation index', 'water demand modeling', 'water consumption data', 'urban tree classification', 'tree', 'suitability index', 'nonroad area removing', 'material consumption analysis', 'Jaccard index', 'greenery auto extraction', 'green space analysis', 'forest', 'deciduous tree']",24,"[72, 120, 135, 141, 162, 167, 190, 237, 252, 289, 293, 301, 312, 328, 333, 347, 374, 437, 452, 479, 497, 551, 565, 576]"
2,1,1,"['urban', 'area', 'city']",21,"['urban area', 'OSM urban area', 'complex urban area', 'urban structure type', 'urban environment', 'surface urban heat', 'small polish city', 'populated urban region', 'large urban scene', 'Lahore city', 'intermediate city', 'complex urban study', 'city worldwide', 'Athens area', 'Urban population distribution', 'Urban Atlas land', 'Taliban regime', 'populated emirate', 'individual building', 'Historical Cityscape', 'common building typology']",22,"[6, 42, 137, 175, 208, 212, 213, 236, 259, 283, 418, 464, 469, 490, 515, 552, 565, 569, 572, 578, 582, 588]"
2,1,2,"['land', 'use', 'urban']",18,"['urban land use', 'urban land market', 'urban land cover', 'truth land use', 'optimal urban land', 'land use policy', 'land use master', 'land use class', 'land use category', 'land use', 'land parcel', 'land owner', 'land cover class', 'land consumption', 'land classification dataset', 'inefficient industrial land', 'scene Biome dataset', 'sand consumption']",27,"[42, 74, 78, 90, 119, 135, 167, 171, 193, 256, 260, 302, 312, 316, 344, 348, 426, 475, 476, 490, 509, 531, 551, 554, 559, 589, 590]"
2,1,3,"['data', 'urban', 'green']",17,"['urban greenery information', 'urban data', 'sensed urban data', 'green urban area', 'digital urban data', 'spatial data quality', 'spatial data', 'sensed activity data', 'multivariate municipality data', 'green roofs', 'green infrastructure', 'binary urban footprint', 'roofs', 'roof superstructure classification', 'roof diaphragms', 'grey development', 'building footprint']",18,"[11, 66, 87, 89, 114, 137, 161, 165, 299, 316, 327, 352, 361, 405, 452, 460, 554, 582]"
2,1,4,"['planning', 'sustainable', 'urban']",16,"['sustainable urban planning', 'sustainable urbanization', 'sustainable urban land', 'smart urban planning', 'use planning', 'regional planning relies', 'settlement pattern', 'residential land', 'Regional mapping', 'population mapping', 'population forecasting', 'Interregional comparison', 'housing dispersal', 'distribution map', 'climate zone mapping', 'climate analysis']",15,"[6, 100, 114, 130, 186, 212, 213, 254, 256, 260, 283, 285, 310, 348, 582]"
2,1,5,"['growth', 'urban', 'residential']",16,"['urban growth planning', 'urban growth map', 'urban growth', 'residential land growth', 'Rapid urban growth', 'new urban growth', 'urbanization rate', 'urban sprawl', 'smart city growth', 'residential low impact', 'growth simulation', 'growth modeling', 'annual urbanization', 'socioeconomic inequality', 'smart city', 'monetary poverty']",18,"[6, 114, 119, 130, 182, 190, 213, 225, 256, 299, 317, 328, 344, 348, 368, 458, 464, 572]"
2,1,6,"['urban', 'planning', 'urbanization']",14,"['urbanization lead', 'urbanization', 'urban planning sector', 'urban planning model', 'urban planning decision', 'urban planning', 'urban transition rule', 'urban intelligent navigator', 'urban growth simulation', 'urban development', 'urban city modelling', 'effective urban policy', 'accurate urban mapping', 'Urbanization process']",43,"[59, 73, 87, 89, 106, 113, 118, 129, 130, 135, 158, 175, 186, 190, 193, 212, 245, 251, 254, 288, 293, 301, 302, 310, 314, 327, 330, 333, 352, 368, 391, 426, 436, 443, 463, 494, 497, 509, 528, 547, 563, 593, 594]"
2,1,7,"['water', 'urban', 'management']",12,"['urban stormwater management', 'urban water type', 'urban water infrastructure', 'storm water management', 'water body', 'urban hydrologic modelling', 'stream water quality', 'surface openness', 'perennial drainage', 'impervious surface', 'catchment area', 'cadastral parcel layer']",11,"[11, 73, 119, 230, 312, 333, 344, 361, 420, 552, 557]"
2,1,8,"['urban', 'slum', 'area']",11,"['urban slum area', 'slum area', 'urban neighborhood', 'slum mapping', 'planning coastal area', 'planned urban zone', 'touristic development', 'development zone construction', 'conflict zone', 'Coastal development', 'bathymetry estimation']",10,"[153, 169, 213, 302, 303, 348, 368, 490, 569, 570]"
2,1,9,"['land', 'use', 'cover']",10,"['sensed land cover', 'landcover map', 'land use mapping', 'land use map', 'land use datasets', 'land use data', 'land cover mapping', 'Land cover map', 'land boundary data', 'area geospatial data']",15,"[92, 135, 208, 288, 302, 316, 320, 330, 331, 426, 458, 524, 551, 570, 576]"
2,1,10,"['spatial', 'various', 'graph']",5,"['Various graph measure', 'spatial heterogeneity', 'spatial distribution', 'Population spatialization', 'cluster mean']",5,"[245, 251, 347, 554, 565]"
2,1,11,"['census', 'population', 'density']",4,"['population density', 'census population', 'census tract', 'census data']",4,"[59, 190, 251, 368]"
2,2,0,"['classification', 'analysis', 'binary']",19,"['binary feature classification', 'unsupervised scene classification', 'texture analysis', 'supervised image classification', 'spatial classification', 'intensity analysis', 'image analysis', 'connected component analysis', 'classification map', 'binary decomposition', 'binary class', 'unsupervised spectral unmixing', 'unsupervised feature learning', 'spatial pyramid pooling', 'recognition system', 'nighttime light', 'image interpretation', 'computer vision', 'automatic identification']",20,"[23, 37, 42, 66, 72, 89, 171, 186, 188, 208, 389, 458, 460, 463, 509, 515, 531, 552, 563, 588]"
2,2,1,"['segmentation', 'feature', 'semantic']",13,"['video semantic segmentation', 'semantic segmentation task', 'semantic segmentation', 'semantic inpainting algorithm', 'segmentation network', 'robust segmentation', 'robust feature extraction', 'robust feature', 'pair segmentation', 'feature extraction', 'discriminative feature', 'difference feature', 'inpainting']",15,"[16, 23, 66, 93, 141, 183, 236, 299, 333, 378, 389, 462, 473, 478, 525]"
2,3,0,"['classification', 'learning', 'machine']",32,"['machine learning technique', 'machine learning algorithms', 'machine learning algorithm', 'machine learning', 'generalized machine learning', 'supervised machine', 'learning model', 'inductive learning algorithms', 'high classification accuracy', 'high classification', 'efficient classification', 'classification strategy', 'classification rule', 'classification model', 'classification method', 'classification algorithms', 'classification accuracy', 'classification', 'RF classifier', 'powerful sensor', 'PEN Net classifier', 'novel method', 'model prediction', 'ML concept', 'ge classifier', 'fuzzy inference system', 'explorative model', 'data mining tool', 'classifier', 'advanced mathematical algorithms', 'adoption strategy', 'adaptive data reduction']",42,"[100, 113, 119, 129, 158, 190, 208, 252, 256, 260, 293, 299, 302, 314, 320, 331, 344, 352, 368, 374, 391, 405, 418, 420, 427, 444, 464, 475, 478, 494, 548, 551, 554, 557, 569, 572, 576, 578, 589, 592, 593, 594]"
2,3,1,"['neural', 'network', 'method']",20,"['neural network method', 'neural network', 'backpropagation neural network', 'artificial neural network', 'traditional interpolation method', 'endogenous optimization method', 'zonal modeling strategy', 'weighted regression', 'unlabeled learning classifier', 'transfer learning', 'SVM technique', 'SVM modeling', 'support vector regression', 'support vector machine', 'regression domain', 'mislabeled training sample', 'imbalanced data', 'extreme learning machine', 'deep supervision', 'data weighting']",29,"[9, 16, 87, 89, 106, 114, 144, 153, 161, 167, 175, 212, 231, 252, 288, 289, 303, 310, 328, 420, 444, 452, 496, 507, 509, 524, 551, 582, 589]"
2,3,2,"['deep', 'learning', 'network']",18,"['deep learning network', 'supervised deep learning', 'deep learning model', 'deep learning framework', 'deep learning configuration', 'deep learning algorithms', 'deep learning algorithm', 'deep learning', 'deep belief network', 'neural network paradigm', 'deep supervision module', 'deep representation', 'deep method', 'deep machine', 'Deep learning paradigm', 'deep architecture', 'sparse coding', 'encoder']",31,"[8, 23, 46, 73, 92, 93, 96, 113, 128, 141, 165, 169, 175, 183, 188, 193, 226, 231, 237, 254, 259, 289, 327, 330, 398, 418, 427, 462, 479, 490, 559]"
2,3,3,"['random', 'forest', 'adversarial']",12,"['random forest', 'rotation forest', 'generative adversarial net', 'Conditional random field', 'conditional adversarial term', 'adversarial training', 'adversarial network', 'Random Forests classification', 'Random Forest machine', 'Random Forest algorithm', 'invariant augmentation', 'Forest classifier']",24,"[6, 11, 37, 78, 90, 118, 120, 153, 186, 212, 234, 236, 251, 259, 303, 347, 389, 393, 443, 458, 476, 497, 565, 592]"
